기간	대분류	분류	소음	소음	대기오염	대기오염	휴식공간 및 녹지부족	휴식공간 및 녹지부족	수질오염	수질오염	범죄 폭력	범죄 폭력	길거리의 쓰레기방치	길거리의 쓰레기방치	주차질서	주차질서
2011	주택형태	아파트	27.9	72.1	28.6	71.4	25.5	74.5	21.3	78.7	28.2	71.8	29.1	70.9	42.7	57.3
2011	주택형태	다세대주택	27.8	72.2	27.2	72.8	32.2	67.8	21.1	78.9	32	68	39	61	52.4	47.6
2011	주택형태	연립/기타	31	69	30	70	29.5	70.5	21.4	78.6	32	68	37	63	51.2	48.8
2011	입주형태	자가	26.3	73.7	28.4	71.6	28	72	21.8	78.2	31	69	33.9	66.1	48.3	51.7
2011	입주형태	전세	26.6	73.4	28.5	71.5	30.9	69.1	21.8	78.2	31.6	68.4	35.4	64.6	50.4	49.6
2011	입주형태	월세/기타	31.2	68.8	26.2	73.8	29.7	70.3	19.4	80.6	28.3	71.7	36.6	63.4	47.5	52.5
2011	가구원수	1인	32.5	67.5	28.4	71.6	30.6	69.4	19	81	27.7	72.3	35.5	64.5	44.4	55.6
2011	가구원수	2인	24.8	75.2	25.8	74.2	27.9	72.1	21.3	78.7	29.6	70.4	34	66	49.1	50.9
2011	가구원수	3인	26.2	73.8	26.5	73.5	27.7	72.3	21.3	78.7	32.7	67.3	35.4	64.6	50.6	49.4
2011	가구원수	4인	27.7	72.3	29.3	70.7	30.4	69.6	22.9	77.1	32.5	67.5	35.3	64.7	50.6	49.4
2011	가구원수	5인 이상	24.8	75.2	31.2	68.8	31.7	68.3	21.9	78.1	29.2	70.8	35.6	64.4	50.9	49.1
2011	소득	100 만원 미만	31.3	68.7	23	77	25.6	74.4	11.5	88.5	22.4	77.6	33.2	66.8	40.7	59.3
2011	소득	100-200만 미만	31.9	68.1	29.9	70.1	32.1	67.9	21.1	78.9	29.5	70.5	38.3	61.7	49.8	50.2
2011	소득	200-300만 미만	27.6	72.4	24.7	75.3	31.9	68.1	21.5	78.5	31.5	68.5	36	64	50.6	49.4
2011	소득	300-400만 미만	28.7	71.3	28.9	71.1	29.9	70.1	22.8	77.2	30.7	69.3	36.4	63.6	50.7	49.3
2011	소득	400-500만 미만	25.5	74.5	27.5	72.5	30.8	69.2	23.9	76.1	35.6	64.4	36.4	63.6	50.3	49.7
2011	소득	500만원 이상	24.1	75.9	30.5	69.5	24.3	75.7	19.8	80.2	28.2	71.8	29.6	70.4	45.4	54.6
2011	지역대분류	도심권	27.8	72.2	28.4	71.6	37.1	62.9	25.8	74.2	39.2	60.8	40.3	59.7	44.6	55.4
2011	지역대분류	동북권	27.5	72.5	29.3	70.7	32.4	67.6	25.6	74.4	35	65	42.3	57.7	51.7	48.3
2011	지역대분류	서북권	24.6	75.4	23	77	32.4	67.6	18	82	29.1	70.9	37.9	62.1	59.1	40.9
2011	지역대분류	서남권	31.3	68.7	27.6	72.4	27.6	72.4	17.6	82.4	28.5	71.5	32	68	42.9	57.1
2011	지역대분류	동남권	24.3	75.7	28.7	71.3	23.6	76.4	20.1	79.9	25	75	25.4	74.6	48	52
2011	종로구	종로구	27.8	72.2	22.2	77.8	39.7	60.3	29.3	70.7	40.3	59.7	45.2	54.8	37.1	62.9
2011	중구	중구	19.5	80.5	24.8	75.2	43.6	56.4	20.4	79.6	36.9	63.1	40.9	59.1	50.5	49.5
2011	용산구	용산구	32.2	67.8	34.5	65.5	32	68	26.3	73.7	39.5	60.5	36.7	63.3	46.5	53.5
2011	성동구	성동구	23	77	32.5	67.5	37.6	62.4	29.9	70.1	42.8	57.2	41.2	58.8	45.1	54.9
2011	광진구	광진구	23.9	76.1	25.4	74.6	24.7	75.3	12.9	87.1	23.1	76.9	32.6	67.4	52.6	47.4
2011	동대문구	동대문구	27	73	34.2	65.8	34.9	65.1	31.3	68.7	39.2	60.8	40.5	59.5	48.9	51.1
2011	중랑구	중랑구	30.7	69.3	31.3	68.7	40.1	59.9	44.9	55.1	52.9	47.1	51.8	48.2	49.2	50.8
2011	성북구	성북구	42.9	57.1	48.6	51.4	44	56	36.4	63.6	47.1	52.9	63	37	66.8	33.2
2011	강북구	강북구	26.8	73.2	22.3	77.7	35.2	64.8	12.6	87.4	24.1	75.9	40.3	59.7	58	42
2011	도봉구	도봉구	19.7	80.3	15.8	84.2	27.6	72.4	23.8	76.2	39.7	60.3	43.4	56.6	58.9	41.1
2011	노원구	노원구	22.5	77.5	21.5	78.5	18.6	81.4	13.1	86.9	15.5	84.5	26.2	73.8	37	63
2011	은평구	은평구	16.4	83.6	15.2	84.8	33.6	66.4	13.3	86.7	27.2	72.8	28.4	71.6	58.8	41.2
2011	서대문구	서대문구	21.6	78.4	20.5	79.5	31.9	68.1	23.5	76.5	33.6	66.4	37.9	62.1	57	43
2011	마포구	마포구	36.9	63.1	34.3	65.7	31.5	68.5	19.2	80.8	27.7	72.3	49.2	50.8	61.1	38.9
2011	양천구	양천구	55.9	44.1	31.7	68.3	26.9	73.1	16.8	83.2	22.5	77.5	29.8	70.2	38.5	61.5
2011	강서구	강서구	34.7	65.3	29.9	70.1	29.3	70.7	14.1	85.9	27	73	40	60	54.7	45.3
2011	구로구	구로구	33.8	66.2	32.6	67.4	34.8	65.2	26.8	73.2	35.4	64.6	31.2	68.8	41.3	58.7
2011	금천구	금천구	28.1	71.9	24.8	75.2	41.5	58.5	16.2	83.8	35	65	49.3	50.7	70.9	29.1
2011	영등포구	영등포구	34	66	30.5	69.5	34.5	65.5	31.2	68.8	47.1	52.9	39.4	60.6	52.8	47.2
2011	동작구	동작구	13.1	86.9	23.5	76.5	12.6	87.4	9.3	90.7	25.5	74.5	23	77	29.8	70.2
2011	관악구	관악구	20.2	79.8	21	79	21.7	78.3	12.4	87.6	16.5	83.5	20.9	79.1	27.1	72.9
2011	서초구	서초구	24.4	75.6	29.5	70.5	18.5	81.5	14.6	85.4	24.8	75.2	18.5	81.5	39.1	60.9
2011	강남구	강남구	30.8	69.2	31.6	68.4	32.2	67.8	23.9	76.1	24.5	75.5	26.1	73.9	54.2	45.8
2011	송파구	송파구	18.1	81.9	25.7	74.3	23.3	76.7	19.9	80.1	20.6	79.4	27.1	72.9	35.2	64.8
2011	강동구	강동구	24.5	75.5	28.6	71.4	18.2	81.8	20.7	79.3	31.7	68.3	28.4	71.6	65.9	34.1
2012	서울시	서울시	26.9	73.1	26.8	73.2	25.9	74.1	20.7	79.3	32.1	67.9	34.8	65.2	45.4	54.6
2012	성별	남자	27.1	72.9	26.5	73.5	24.8	75.2	20.9	79.1	32	68	34.4	65.6	45.7	54.3
2012	성별	여자	26.2	73.8	28.3	71.7	30.1	69.9	20.1	79.9	32.2	67.8	36.4	63.6	44.2	55.8
2012	연령별	20대 이하	29.5	70.5	32.9	67.1	32.5	67.5	25.7	74.3	41.4	58.6	46.3	53.7	56.9	43.1
2012	연령별	30대	27.9	72.1	29.2	70.8	27.8	72.2	23	77	35	65	37	63	48.2	51.8
2012	연령별	40대	27.8	72.2	27.4	72.6	24.9	75.1	20.6	79.4	32.3	67.7	34.3	65.7	48.3	51.7
2012	연령별	50대	26.7	73.3	24.3	75.7	24.1	75.9	19.7	80.3	30.6	69.4	33.7	66.3	43.1	56.9
2012	연령별	60대 이상	24.2	75.8	24.9	75.1	25	75	18.3	81.7	27.9	72.1	31.1	68.9	38.1	61.9
2012	학력별	중졸 이하	25	75	20.6	79.4	27.3	72.7	17.9	82.1	25.2	74.8	28.7	71.3	32.7	67.3
2012	학력별	고졸 이하	26.3	73.7	26.9	73.1	26.5	73.5	20.6	79.4	31.7	68.3	36.9	63.1	45.9	54.1
2012	학력별	대졸 이하	27.2	72.8	27.7	72.3	25.3	74.7	21.1	78.9	33.5	66.5	34.8	65.2	47.6	52.4
2012	학력별	대학원 이상	37.9	62.1	36.4	63.6	24.8	75.2	27.8	72.2	38.3	61.7	31.4	68.6	43.5	56.5
2012	주택형태	단독주택	27	73	28.9	71.1	28	72	23.2	76.8	36.4	63.6	41.1	58.9	50.9	49.1
2012	주택형태	아파트	25.7	74.3	24.3	75.7	22.4	77.6	18.1	81.9	26.7	73.3	27.8	72.2	39.7	60.3
2012	주택형태	다세대주택	28.8	71.2	28.2	71.8	28.6	71.4	22.4	77.6	35.6	64.4	37.4	62.6	46.3	53.7
2012	주택형태	연립/기타	29.4	70.6	28	72	29.7	70.3	18.6	81.4	32.9	67.1	36.6	63.4	46	54
2012	입주형태	자가	27	73	25.6	74.4	24.9	75.1	19.6	80.4	30.1	69.9	32.4	67.6	43.9	56.1
2012	입주형태	전세	25.7	74.3	27.1	72.9	26	74	20.3	79.7	32.5	67.5	35.2	64.8	44.5	55.5
2012	입주형태	월세/기타	28.1	71.9	28.5	71.5	27.3	72.7	23	77	34.6	65.4	38.3	61.7	48.8	51.2
2012	가구원수	1인	28.6	71.4	31.2	68.8	28	72	22.5	77.5	34.3	65.7	40.5	59.5	48.6	51.4
2012	가구원수	2인	24.3	75.7	25.2	74.8	26.6	73.4	20.8	79.2	31.3	68.7	33.2	66.8	41.6	58.4
2012	가구원수	3인	25.4	74.6	24.5	75.5	24.3	75.7	19.9	80.1	31.1	68.9	33.2	66.8	43.8	56.2
2012	가구원수	4인	27.9	72.1	25.8	74.2	23.9	76.1	20.3	79.7	32.5	67.5	33.2	66.8	46.8	53.2
2012	가구원수	5인 이상	30.4	69.6	28.3	71.7	27.9	72.1	18.5	81.5	29.1	70.9	31.4	68.6	46.8	53.2
2012	소득	100 만원 미만	21.6	78.4	18.3	81.7	27.6	72.4	17.7	82.3	24.2	75.8	30.3	69.7	28.6	71.4
2012	소득	100-200만 미만	29.2	70.8	27.9	72.1	29.9	70.1	22.8	77.2	32.6	67.4	35.3	64.7	44.1	55.9
2012	소득	200-300만 미만	28.2	71.8	27.8	72.2	27.2	72.8	23	77	35.2	64.8	39.5	60.5	49.1	50.9
2012	소득	300-400만 미만	27.6	72.4	26.6	73.4	24.9	75.1	20.8	79.2	30.9	69.1	34.4	65.6	42.9	57.1
2012	소득	400-500만 미만	26.4	73.6	27.2	72.8	24.6	75.4	20.2	79.8	32.5	67.5	34.4	65.6	46.8	53.2
2012	소득	500만원 이상	24.9	75.1	26.8	73.2	24.6	75.4	18.3	81.7	31.5	68.5	32	68	47.5	52.5
2012	지역대분류	도심권	26.9	73.1	33.2	66.8	35.4	64.6	29.8	70.2	39.3	60.7	45	55	52.1	47.9
2012	지역대분류	동북권	26.7	73.3	30.6	69.4	25.1	74.9	23.6	76.4	34.9	65.1	38.3	61.7	49.3	50.7
2012	지역대분류	서북권	21.4	78.6	21	79	30.1	69.9	21.2	78.8	38.4	61.6	43.4	56.6	49.7	50.3
2012	지역대분류	서남권	33.1	66.9	28.2	71.8	27.2	72.8	18.1	81.9	32.1	67.9	33.2	66.8	41.1	58.9
2012	지역대분류	동남권	21.1	78.9	20.6	79.4	20.3	79.7	17.3	82.7	22	78	24.1	75.9	41.2	58.8
2012	종로구	종로구	40.4	59.6	45.3	54.7	42.9	57.1	42.2	57.8	52.9	47.1	49.8	50.2	54.1	45.9
2012	중구	중구	5.8	94.2	9.7	90.3	35.4	64.6	26.2	73.8	25.3	74.7	24.8	75.2	25	75
2012	용산구	용산구	29.1	70.9	37.7	62.3	30.2	69.8	23.4	76.6	37.7	62.3	52.7	47.3	65.4	34.6
2012	성동구	성동구	44	56	47.6	52.4	34.4	65.6	44.7	55.3	57.4	42.6	60.8	39.2	65.7	34.3
2012	광진구	광진구	30.5	69.5	41.7	58.3	29.2	70.8	23.2	76.8	26.9	73.1	39.7	60.3	64.3	35.7
2012	동대문구	동대문구	18.4	81.6	26.9	73.1	31.3	68.7	22.1	77.9	33.6	66.4	29.9	70.1	34.1	65.9
2012	중랑구	중랑구	29.5	70.5	38.9	61.1	27.4	72.6	32.2	67.8	41.6	58.4	35.3	64.7	41.8	58.2
2012	성북구	성북구	23.7	76.3	29.2	70.8	24.3	75.7	19.1	80.9	37.2	62.8	44.4	55.6	58.4	41.6
2012	강북구	강북구	36	64	32.8	67.2	30.4	69.6	25.7	74.3	36.8	63.2	45.9	54.1	49.5	50.5
2012	도봉구	도봉구	15.6	84.4	21.8	78.2	19.1	80.9	21	79	35.7	64.3	29.6	70.4	44.9	55.1
2012	노원구	노원구	22	78	15.1	84.9	12.4	87.6	11.2	88.8	20.4	79.6	28.8	71.2	40.7	59.3
2012	은평구	은평구	14.8	85.2	16.2	83.8	26.5	73.5	17.3	82.7	41	59	46.8	53.2	51.6	48.4
2012	서대문구	서대문구	21.2	78.8	19.5	80.5	28.4	71.6	20.5	79.5	36.2	63.8	43.1	56.9	57.8	42.2
2012	마포구	마포구	29.5	70.5	28.2	71.8	35.9	64.1	26.7	73.3	37.1	62.9	39.6	60.4	40.9	59.1
2012	양천구	양천구	49.9	50.1	10.4	89.6	30.4	69.6	6.1	93.9	14.8	85.2	19	81	36.4	63.6
2012	강서구	강서구	29.6	70.4	19.5	80.5	25.1	74.9	14.8	85.2	17.3	82.7	22.5	77.5	26.1	73.9
2012	구로구	구로구	50.4	49.6	37.9	62.1	32.7	67.3	18.3	81.7	41.5	58.5	35.6	64.4	46	54
2012	금천구	금천구	34.8	65.2	27.7	72.3	27.1	72.9	29.1	70.9	39.4	60.6	32.3	67.7	44.3	55.7
2012	영등포구	영등포구	33	67	46.4	53.6	28.9	71.1	23.4	76.6	53	47	54	46	58.2	41.8
2012	동작구	동작구	20.5	79.5	21.4	78.6	20.9	79.1	14.5	85.5	21.7	78.3	25.6	74.4	36	64
2012	관악구	관악구	20	80	36.3	63.7	26.6	73.4	24.7	75.3	43	57	44	56	46.2	53.8
2012	서초구	서초구	14.5	85.5	18.3	81.7	24.2	75.8	8.7	91.3	16.7	83.3	26.9	73.1	50.9	49.1
2012	강남구	강남구	22.4	77.6	19.9	80.1	14.2	85.8	19.4	80.6	23.3	76.7	18.7	81.3	37	63
2012	송파구	송파구	27.3	72.7	24.9	75.1	18.2	81.8	16.8	83.2	18.9	81.1	20.8	79.2	30.2	69.8
2012	강동구	강동구	17	83	17.9	82.1	26.9	73.1	23.3	76.7	29.4	70.6	32.7	67.3	52.6	47.4
2013	서울시	서울시	23.9	76.1	26.3	73.7	-	-	20.1	79.9	31.8	68.2	32.3	67.7	36.8	63.2
2013	성별	남자	23.3	76.7	27.3	72.7	-	-	19.9	80.1	31.9	68.1	32.9	67.1	37.8	62.2
2013	성별	여자	26.2	73.8	23.1	76.9	-	-	21	79	31.6	68.4	30.1	69.9	33.2	66.8
2013	연령별	20대 이하	32	68	29.5	70.5	-	-	21.8	78.2	36.4	63.6	27.2	72.8	40.7	59.3
2013	연령별	30대	22.9	77.1	27.8	72.2	-	-	20.6	79.4	34.1	65.9	33.8	66.2	37.9	62.1
2013	연령별	40대	23.2	76.8	27.4	72.6	-	-	20.5	79.5	32.8	67.2	35.7	64.3	38.4	61.6
2013	연령별	50대	25.7	74.3	27.1	72.9	-	-	20.6	79.4	30.2	69.8	31.5	68.5	36.2	63.8
2013	연령별	60대 이상	21.7	78.3	22.5	77.5	-	-	18.5	81.5	28.9	71.1	29.7	70.3	33.5	66.5
2013	학력별	중졸 이하	21.4	78.6	21.7	78.3	-	-	16.7	83.3	27.3	72.7	26.6	73.4	28.9	71.1
2013	학력별	고졸 이하	24.9	75.1	25.7	74.3	-	-	20.1	79.9	30.4	69.6	32.4	67.6	37.4	62.6
2013	학력별	대졸 이하	23.5	76.5	27.3	72.7	-	-	20.8	79.2	33.5	66.5	33.5	66.5	38.2	61.8
2013	학력별	대학원 이상	36.5	63.5	40.7	59.3	-	-	26	74	38.5	61.5	33.4	66.6	37.2	62.8
2013	주택형태	단독주택	23	77	25.9	74.1	-	-	19.6	80.4	33.6	66.4	33.4	66.6	37.2	62.8
2013	주택형태	아파트	25.2	74.8	28.1	71.9	-	-	21.7	78.3	30.9	69.1	32.1	67.9	35.7	64.3
2013	주택형태	다세대주택	22.7	77.3	22.4	77.6	-	-	17.4	82.6	29.9	70.1	29.6	70.4	37.1	62.9
2013	주택형태	연립/기타	24.5	75.5	26.3	73.7	-	-	19.2	80.8	30.6	69.4	32.7	67.3	39.7	60.3
2013	입주형태	자가	23.8	76.2	24.5	75.5	-	-	18.6	81.4	30.3	69.7	32.3	67.7	35.9	64.1
2013	입주형태	전세	25.2	74.8	26.9	73.1	-	-	21.7	78.3	31.5	68.5	33.5	66.5	39.3	60.7
2013	입주형태	월세/기타	22.5	77.5	28.5	71.5	-	-	20.6	79.4	34.6	65.4	30.7	69.3	34.8	65.2
2013	가구원수	1인	23.5	76.5	24.3	75.7	-	-	21.3	78.7	31.5	68.5	30.1	69.9	30.8	69.2
2013	가구원수	2인	22.8	77.2	25.2	74.8	-	-	17.9	82.1	30.7	69.3	31.3	68.7	37.9	62.1
2013	가구원수	3인	24.2	75.8	28.2	71.8	-	-	20.8	79.2	33.4	66.6	31.5	68.5	37.9	62.1
2013	가구원수	4인	25.1	74.9	27.3	72.7	-	-	20.3	79.7	31.5	68.5	35.4	64.6	38.9	61.1
2013	가구원수	5인 이상	24.7	75.3	28	72	-	-	21.1	78.9	32.3	67.7	35.4	64.6	42.2	57.8
2013	소득	100 만원 미만	25.2	74.8	25.3	74.7	-	-	23.5	76.5	32.8	67.2	28	72	30.7	69.3
2013	소득	100-200만 미만	24.7	75.3	25.8	74.2	-	-	21.8	78.2	30.7	69.3	30.2	69.8	36.8	63.2
2013	소득	200-300만 미만	24.6	75.4	25.5	74.5	-	-	17.7	82.3	29.6	70.4	33.4	66.6	36.2	63.8
2013	소득	300-400만 미만	23.6	76.4	25.7	74.3	-	-	20.3	79.7	32.2	67.8	33.4	66.6	40.1	59.9
2013	소득	400-500만 미만	22.1	77.9	26	74	-	-	19.9	80.1	33.2	66.8	33.3	66.7	37.1	62.9
2013	소득	500만원 이상	24.5	75.5	28.9	71.1	-	-	20.5	79.5	32.5	67.5	31.3	68.7	34.4	65.6
2013	지역대분류	도심권	27.8	72.2	27.2	72.8	-	-	20.6	79.4	43.4	56.6	24.8	75.2	35.9	64.1
2013	지역대분류	동북권	22.5	77.5	27.5	72.5	-	-	21.5	78.5	30.9	69.1	33.1	66.9	39.1	60.9
2013	지역대분류	서북권	19.2	80.8	22.6	77.4	-	-	15.2	84.8	33.7	66.3	34.3	65.7	43.6	56.4
2013	지역대분류	서남권	29.5	70.5	26.6	73.4	-	-	20.1	79.9	33.2	66.8	35.5	64.5	37	63
2013	지역대분류	동남권	19.6	80.4	26.2	73.8	-	-	20.8	79.2	27.1	72.9	26.9	73.1	28.9	71.1
2013	종로구	종로구	30.7	69.3	27.3	72.7	-	-	26.2	73.8	26	74	25.8	74.2	38.3	61.7
2013	중구	중구	22.6	77.4	24.3	75.7	-	-	19.3	80.7	30.3	69.7	19.5	80.5	29.3	70.7
2013	용산구	용산구	28.7	71.3	28.6	71.4	-	-	17.4	82.6	44.8	55.2	27	73	37.9	62.1
2013	성동구	성동구	34.1	65.9	30.5	69.5	-	-	31.4	68.6	34.8	65.2	41.7	58.3	47.1	52.9
2013	광진구	광진구	20.2	79.8	24.5	75.5	-	-	17.2	82.8	25.9	74.1	24.7	75.3	29.9	70.1
2013	동대문구	동대문구	22.9	77.1	40.1	59.9	-	-	31	69	30.4	69.6	30.1	69.9	44.9	55.1
2013	중랑구	중랑구	21.8	78.2	29.9	70.1	-	-	22.6	77.4	43.2	56.8	30.1	69.9	38.1	61.9
2013	성북구	성북구	14.1	85.9	25.3	74.7	-	-	20.6	79.4	21.7	78.3	35.8	64.2	34.7	65.3
2013	강북구	강북구	21.8	78.2	20.9	79.1	-	-	15	85	26.4	73.6	30.5	69.5	38.9	61.1
2013	도봉구	도봉구	27.5	72.5	21.8	78.2	-	-	12.4	87.6	40.8	59.2	50.9	49.1	60.3	39.7
2013	노원구	노원구	22.7	77.3	27.3	72.7	-	-	22.3	77.7	27.3	72.7	27	73	28.6	71.4
2013	은평구	은평구	18.4	81.6	25	75	-	-	16.6	83.4	33.4	66.6	33.8	66.2	46.1	53.9
2013	서대문구	서대문구	24.7	75.3	23.1	76.9	-	-	13.1	86.9	34.1	65.9	39.9	60.1	47.4	52.6
2013	마포구	마포구	15.7	84.3	19.2	80.8	-	-	15.2	84.8	33.7	66.3	30.6	69.4	37.5	62.5
2013	양천구	양천구	28.4	71.6	18	82	-	-	11.3	88.7	25.1	74.9	31	69	43.7	56.3
2013	강서구	강서구	35.4	64.6	27.6	72.4	-	-	21.1	78.9	29.9	70.1	35.2	64.8	31.5	68.5
2013	구로구	구로구	39.8	60.2	40.6	59.4	-	-	32.9	67.1	43.7	56.3	48.4	51.6	58.3	41.7
2013	금천구	금천구	27.8	72.2	28.4	71.6	-	-	19.1	80.9	34	66	42.9	57.1	45.9	54.1
2013	영등포구	영등포구	25.7	74.3	26.1	73.9	-	-	20.4	79.6	44	56	32.8	67.2	31.4	68.6
2013	동작구	동작구	23.4	76.6	28.2	71.8	-	-	18.2	81.8	30	70	29.7	70.3	26.1	73.9
2013	관악구	관악구	25.3	74.7	20.7	79.3	-	-	18.4	81.6	29.9	70.1	32.9	67.1	30	70
2013	서초구	서초구	13.4	86.6	20.8	79.2	-	-	17.6	82.4	16.6	83.4	31.5	68.5	16.7	83.3
2013	강남구	강남구	18.7	81.3	30.9	69.1	-	-	26.3	73.7	25.4	74.6	24.8	75.2	30.8	69.2
2013	송파구	송파구	23.8	76.2	25.5	74.5	-	-	17.3	82.7	33.7	66.3	26.1	73.9	32	68
2013	강동구	강동구	20.7	79.3	26.4	73.6	-	-	22	78	29.6	70.4	26.5	73.5	33.3	66.7
2014	서울시	서울시	30.9	69.1	32.7	67.3	28.6	71.4	26	74	33	67	40.1	59.9	49.5	50.5
2014	성별	남자	30.8	69.2	33	67	28.5	71.5	26.2	73.8	33.2	66.8	40.4	59.6	50.1	49.9
2014	성별	여자	31.3	68.7	30.8	69.2	29.6	70.4	24.8	75.2	32.3	67.7	38.5	61.5	46.5	53.5
2014	연령별	20대 이하	37.2	62.8	37.8	62.2	30.7	69.3	32	68	41.4	58.6	44.8	55.2	52.2	47.8
2014	연령별	30대	30.8	69.2	32	68	28.4	71.6	25.9	74.1	33.6	66.4	40.9	59.1	53.5	46.5
2014	연령별	40대	32.3	67.7	34.1	65.9	28.1	71.9	26.8	73.2	33.6	66.4	39.3	60.7	50.7	49.3
2014	연령별	50대	29.8	70.2	33.5	66.5	29.8	70.2	26.3	73.7	34.3	65.7	40.5	59.5	49	51
2014	연령별	60대 이상	29.5	70.5	29.9	70.1	27.8	72.2	23.9	76.1	29	71	38.9	61.1	44.7	55.3
2014	학력별	중졸 이하	27.2	72.8	27.2	72.8	28.2	71.8	19.8	80.2	26.7	73.3	36.3	63.7	43.5	56.5
2014	학력별	고졸 이하	28.8	71.2	31.2	68.8	29.3	70.7	25.8	74.2	32.9	67.1	42.7	57.3	48.9	51.1
2014	학력별	대졸 이하	32.7	67.3	34.3	65.7	28.4	71.6	27.2	72.8	34.1	65.9	39.5	60.5	51	49
2014	학력별	대학원 이상	37.2	62.8	39.3	60.7	25.5	74.5	27.9	72.1	38.7	61.3	32.8	67.2	50.4	49.6
2014	주택형태	단독주택	30.1	69.9	31.6	68.4	30	70	26.1	73.9	34.1	65.9	42.3	57.7	52.6	47.4
2014	주택형태	아파트	31.5	68.5	34.1	65.9	26.9	73.1	26	74	31.7	68.3	36.9	63.1	45.6	54.4
2014	주택형태	다세대주택	31	69	31.9	68.1	29.5	70.5	25.4	74.6	33.2	66.8	42.1	57.9	52.3	47.7
2014	주택형태	연립/기타	32.3	67.7	32.6	67.4	28.8	71.2	26.7	73.3	33.4	66.6	40.5	59.5	47.5	52.5
2014	입주형태	자가	30.3	69.7	32.6	67.4	28.4	71.6	25.1	74.9	31.7	68.3	39.3	60.7	48	52
2014	입주형태	전세	31.2	68.8	32.7	67.3	29	71	27.2	72.8	34.1	65.9	40.7	59.3	50.6	49.4
2014	입주형태	월세/기타	33.5	66.5	33	67	28.4	71.6	25.7	74.3	35.9	64.1	41.8	58.2	53.5	46.5
2014	가구원수	1인	31.7	68.3	31	69	29.2	70.8	27.9	72.1	32.1	67.9	38.1	61.9	44.5	55.5
2014	가구원수	2인	28.9	71.1	31.9	68.1	28.5	71.5	25.3	74.7	32.1	67.9	41.8	58.2	48.1	51.9
2014	가구원수	3인	31.6	68.4	32.9	67.1	28.7	71.3	26.3	73.7	34.3	65.7	41	59	51.2	48.8
2014	가구원수	4인	30.9	69.1	33.9	66.1	28.1	71.9	25.1	74.9	32.7	67.3	38.4	61.6	50.7	49.3
2014	가구원수	5인 이상	35.8	64.2	32.8	67.2	31.5	68.5	29.1	70.9	35.8	64.2	42.5	57.5	55.9	44.1
2014	소득	100 만원 미만	26	74	20.9	79.1	26.9	73.1	15.4	84.6	22.6	77.4	35.7	64.3	41.8	58.2
2014	소득	100-200만 미만	29.7	70.3	32	68	28.2	71.8	26.9	73.1	29.3	70.7	40.3	59.7	48.3	51.7
2014	소득	200-300만 미만	32.1	67.9	31.9	68.1	33.4	66.6	26.4	73.6	34.7	65.3	42.7	57.3	50.9	49.1
2014	소득	300-400만 미만	30.2	69.8	32.9	67.1	28.1	71.9	26	74	34.5	65.5	43	57	52.6	47.4
2014	소득	400-500만 미만	30.2	69.8	33.5	66.5	28.3	71.7	27.2	72.8	33.2	66.8	41.4	58.6	50	50
2014	소득	500만원 이상	32.6	67.4	34	66	27.1	72.9	26.1	73.9	33.4	66.6	35.3	64.7	47	53
2014	지역대분류	도심권	38.3	61.7	34.7	65.3	34.3	65.7	33.4	66.6	36.4	63.6	42.1	57.9	48.1	51.9
2014	지역대분류	동북권	24.8	75.2	30	70	27.7	72.3	24.2	75.8	28.9	71.1	38.6	61.4	49.8	50.2
